Date,Open,Last,High,Low,Range,Volume,3Y POC,VWAP,YTD POC,1Y POC,1WK POC
2020/3/9,2882.00,2713.75,2882.00,2681.00,201.00,2672753,0.00,0.00,0.00,0.00,0.00
2020/3/10,2699.00,2831.75,2850.75,2661.25,189.50,3423140,3984.00,0.00,0.00,0.00,0.00
2020/3/11,2825.50,2706.25,2835.50,2668.75,166.75,2992894,3984.00,0.00,0.00,0.00,0.00
2020/3/12,2704.00,2435.00,2740.00,2408.50,331.50,4366577,3984.00,0.00,0.00,0.00,0.00
2020/3/13,2395.50,2662.00,2673.75,2359.50,314.25,3423449,3984.00,0.00,0.00,0.00,0.00
2020/3/16,2609.50,2383.25,2630.00,2328.00,302.00,3539756,3984.00,0.00,0.00,0.00,0.00
2020/3/17,2385.00,2463.50,2520.75,2330.00,190.75,3788132,3984.00,0.00,0.00,0.00,0.00
2020/3/18,2445.50,2379.50,2464.25,2240.00,224.25,3255696,3984.00,0.00,0.00,0.00,0.00
2020/3/19,2380.50,2367.00,2438.00,2253.00,185.00,3127808,3984.00,2367.00,0.00,0.00,0.00
2020/3/20,2329.00,2266.50,2477.00,2238.00,239.00,3075997,3984.00,2317.17,0.00,0.00,0.00
2020/3/23,2198.25,2198.50,2364.00,2152.00,212.00,3076791,3984.00,2277.83,0.00,0.00,0.00
2020/3/24,2211.25,2416.00,2425.75,2208.50,217.25,2639522,3984.00,2308.42,0.00,0.00,0.00
2020/3/25,2420.75,2445.00,2538.75,2364.00,174.75,3037767,3984.00,2336.16,0.00,0.00,0.00
2020/3/26,2449.00,2586.00,2603.75,2380.25,223.50,2413913,3984.00,2370.88,0.00,0.00,0.00
2020/3/27,2605.75,2502.00,2612.50,2483.25,129.25,2320755,3984.00,2386.33,0.00,0.00,0.00
2020/3/30,2437.00,2589.25,2599.75,2423.00,176.75,1837692,3984.00,2403.65,0.00,0.00,0.00
2020/3/31,2591.25,2547.75,2613.75,2533.75,80.00,2248012,3984.00,2417.27,0.00,0.00,0.00
2020/4/1,2540.00,2426.00,2540.25,2412.25,128.00,2091378,3984.00,2417.98,0.00,0.00,0.00
